created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Cleaned Text,Tokens
Fri Oct 20 10:56:24 +0000 2023,1715321060634333224,Visi dan Misi  Pasangan capres dan cawapres  Ganjar Pranowo  Mahfud MD    Tag   Menkopolhukam  Selamat Hari Jumat semoga hujan httpstcoSXNnOoxo,0,0,1,2,in,30907343,1715321060634333224,tkrppkotabekasi,https://twitter.com/tkrppkotabekasi/status/1715321060634333224,Visi Misi Pasangan capres cawapres Ganjar Pranowo Mahfud MD Tag Menkopolhukam Selamat Hari httpstcoSXNnOoxo,"['[', ""'Visi"", ""'"", ',', ""'Misi"", ""'"", ',', ""'Pasangan"", ""'"", ',', ""'capres"", ""'"", ',', ""'cawapres"", ""'"", ',', ""'Ganjar"", ""'"", ',', ""'Pranowo"", ""'"", ',', ""'Mahfud"", ""'"", ',', ""'MD"", ""'"", ',', ""'Tag"", ""'"", ',', ""'Menkopolhukam"", ""'"", ',', ""'Selamat"", ""'"", ',', ""'Hari"", ""'"", ',', ""'httpstcoSXNnOoxo"", ""'"", ']']"
Fri Oct 20 10:56:18 +0000 2023,1715321036986831268,MelihatIndo ganjarpranowo mohmahfudmd Pak ganjar mahfud menyusun visi misi untuk rakyat VisiMisiGanjarMahfud,0,0,0,0,in,1464388132401557512,1715293032529203504,syelafreya,https://twitter.com/syelafreya/status/1715321036986831268,MelihatIndo ganjarpranowo mohmahfudmd Pak mahfud VisiMisiGanjarMahfud,"['[', ""'MelihatIndo"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Pak"", ""'"", ',', ""'mahfud"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ']']"
Fri Oct 20 10:56:14 +0000 2023,1715321017709859190,MelihatIndo ganjarpranowo mohmahfudmd Optimis banget dengan VisiMisiGanjarMahfud mampu mewujudkan Indonesia Emas,0,0,0,0,in,1595376218446385152,1715293032529203504,ArisnaShifan,https://twitter.com/ArisnaShifan/status/1715321017709859190,MelihatIndo ganjarpranowo mohmahfudmd Optimis VisiMisiGanjarMahfud Emas,"['[', ""'MelihatIndo"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Optimis"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ',', ""'Emas"", ""'"", ']']"
Fri Oct 20 10:56:12 +0000 2023,1715321010394907005,NikmatulSg ganjarpranowo mohmahfudmd Luar biasa Pesona Ganjar Mahfud akan menghiasi lndonesiakenapa karna sangat akin gue kalo Visi Misi Ganjar Mahfud bukan sekedar janji palsu VisiMisiGanjarMahfud,0,0,0,1,in,1704633848783314944,1715286319017103792,DaniGregor23394,https://twitter.com/DaniGregor23394/status/1715321010394907005,NikmatulSg ganjarpranowo mohmahfudmd Luar Pesona Ganjar Mahfud lndonesiakenapa karna akin Visi Misi Ganjar Mahfud VisiMisiGanjarMahfud,"['[', ""'NikmatulSg"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Luar"", ""'"", ',', ""'Pesona"", ""'"", ',', ""'Ganjar"", ""'"", ',', ""'Mahfud"", ""'"", ',', ""'lndonesiakenapa"", ""'"", ',', ""'karna"", ""'"", ',', ""'akin"", ""'"", ',', ""'Visi"", ""'"", ',', ""'Misi"", ""'"", ',', ""'Ganjar"", ""'"", ',', ""'Mahfud"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ']']"
Fri Oct 20 10:56:09 +0000 2023,1715320998428619112,Minietweets allpribadi puanmaharaniri msoekarnoputri ganjarpranowo tim prabu,0,0,0,1,pt,1604410409653440513,1715190339559100470,_tenanan_iso,https://twitter.com/_tenanan_iso/status/1715320998428619112,Minietweets allpribadi puanmaharaniri msoekarnoputri ganjarpranowo,"['[', ""'Minietweets"", ""'"", ',', ""'allpribadi"", ""'"", ',', ""'puanmaharaniri"", ""'"", ',', ""'msoekarnoputri"", ""'"", ',', ""'ganjarpranowo"", ""'"", ']']"
Fri Oct 20 10:56:03 +0000 2023,1715320971652149661,narkosun ganjarpranowo Pilih ganjar ,0,0,0,0,in,1636764525260308480,1715165808106901725,Islamnamasya23,https://twitter.com/Islamnamasya23/status/1715320971652149661,narkosun ganjarpranowo Pilih,"['[', ""'narkosun"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'Pilih"", ""'"", ']']"
Fri Oct 20 10:56:00 +0000 2023,1715320958897295405,MelihatIndo ganjarpranowo mohmahfudmd Semangat masyarakat untuk mengantarkan kedua sosok ini untuk menang di  VisiMisiGanjarMahfud,0,0,0,0,in,90169539,1715293032529203504,Erlinda_Oematan,https://twitter.com/Erlinda_Oematan/status/1715320958897295405,MelihatIndo ganjarpranowo mohmahfudmd Semangat VisiMisiGanjarMahfud,"['[', ""'MelihatIndo"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Semangat"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ']']"
Fri Oct 20 10:55:59 +0000 2023,1715320956460433506,imadya ganjarpranowo basukibtp ,0,0,0,0,qme,2196538849,1715315232816636242,deasijuli,https://twitter.com/deasijuli/status/1715320956460433506,imadya ganjarpranowo basukibtp,"['[', ""'imadya"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'basukibtp"", ""'"", ']']"
Fri Oct 20 10:55:57 +0000 2023,1715320946486354364,Dengan pembagian ini semoga pada  mendatang Ganjar Pranowo dan Mahfud Md melenggang mulus menjadi Presiden dan Wakik Presiden Indonesia  SahabatGanjar GanjarPranowo Ganjar GenerasiGotongRoyong GanjarPresiden GanjarUntukSemua GanjarMahfud httpstconYoikNiNrX,0,0,0,0,in,1278382011279749120,1715320910331425145,S1ny0Alit,https://twitter.com/S1ny0Alit/status/1715320946486354364,Dengan Ganjar Pranowo Mahfud Md melenggang Presiden Wakik Presiden SahabatGanjar GanjarPranowo Ganjar GenerasiGotongRoyong GanjarPresiden GanjarUntukSemua GanjarMahfud httpstconYoikNiNrX,"['[', ""'Dengan"", ""'"", ',', ""'Ganjar"", ""'"", ',', ""'Pranowo"", ""'"", ',', ""'Mahfud"", ""'"", ',', ""'Md"", ""'"", ',', ""'melenggang"", ""'"", ',', ""'Presiden"", ""'"", ',', ""'Wakik"", ""'"", ',', ""'Presiden"", ""'"", ',', ""'SahabatGanjar"", ""'"", ',', ""'GanjarPranowo"", ""'"", ',', ""'Ganjar"", ""'"", ',', ""'GenerasiGotongRoyong"", ""'"", ',', ""'GanjarPresiden"", ""'"", ',', ""'GanjarUntukSemua"", ""'"", ',', ""'GanjarMahfud"", ""'"", ',', ""'httpstconYoikNiNrX"", ""'"", ']']"
Fri Oct 20 10:55:57 +0000 2023,1715320945605587223,MelihatIndo ganjarpranowo mohmahfudmd VisiMisiGanjarMahfud itu untuk membawa kitaa negara Indonesia untuk maju,0,0,0,0,in,1583770581102915585,1715293032529203504,ripiddan1,https://twitter.com/ripiddan1/status/1715320945605587223,MelihatIndo ganjarpranowo mohmahfudmd VisiMisiGanjarMahfud membawa kitaa,"['[', ""'MelihatIndo"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ',', ""'membawa"", ""'"", ',', ""'kitaa"", ""'"", ']']"
Fri Oct 20 10:55:56 +0000 2023,1715320942363091177,Jokowi Jokowidodo GanjarPranowo PrestasiGanjar ProgramGanjar IndonesiaMaju GanjarPresiden GanjarMenang GanjarCapres Capres Pilpres PemiluSantun Pemilu PemiluSerentak Papua httpstcowiLtUmlK,0,0,0,0,qme,1677901042196045825,1715320942363091177,distrikkonoha,https://twitter.com/distrikkonoha/status/1715320942363091177,Jokowi Jokowidodo GanjarPranowo PrestasiGanjar ProgramGanjar IndonesiaMaju GanjarPresiden GanjarMenang GanjarCapres Capres Pilpres PemiluSantun Pemilu PemiluSerentak Papua httpstcowiLtUmlK,"['[', ""'Jokowi"", ""'"", ',', ""'Jokowidodo"", ""'"", ',', ""'GanjarPranowo"", ""'"", ',', ""'PrestasiGanjar"", ""'"", ',', ""'ProgramGanjar"", ""'"", ',', ""'IndonesiaMaju"", ""'"", ',', ""'GanjarPresiden"", ""'"", ',', ""'GanjarMenang"", ""'"", ',', ""'GanjarCapres"", ""'"", ',', ""'Capres"", ""'"", ',', ""'Pilpres"", ""'"", ',', ""'PemiluSantun"", ""'"", ',', ""'Pemilu"", ""'"", ',', ""'PemiluSerentak"", ""'"", ',', ""'Papua"", ""'"", ',', ""'httpstcowiLtUmlK"", ""'"", ']']"
Fri Oct 20 10:55:56 +0000 2023,1715320941809643707,NikmatulSg ganjarpranowo mohmahfudmd Wah Sepertinya bakal ada banyak perubahan kalau Ganjar dan Mahfud yang memimpin VisiMisiGanjarMahfud,0,0,0,0,in,1683691169455415297,1715286319017103792,ciyaciyyap,https://twitter.com/ciyaciyyap/status/1715320941809643707,NikmatulSg ganjarpranowo mohmahfudmd Wah Sepertinya Ganjar Mahfud VisiMisiGanjarMahfud,"['[', ""'NikmatulSg"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Wah"", ""'"", ',', ""'Sepertinya"", ""'"", ',', ""'Ganjar"", ""'"", ',', ""'Mahfud"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ']']"
Fri Oct 20 10:55:56 +0000 2023,1715320940568150083,NikmatulSg ganjarpranowo mohmahfudmd VisiMisiGanjarMahfud memang untuk masyarakat lebih maju,0,0,0,0,in,1687755548887064577,1715286319017103792,Melon1060_,https://twitter.com/Melon1060_/status/1715320940568150083,NikmatulSg ganjarpranowo mohmahfudmd VisiMisiGanjarMahfud,"['[', ""'NikmatulSg"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ']']"
