created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 04 23:25:49 +0000 2023;1709711451676397669;"@AREAJULID netizen dulu pd mihak ke bpk mirna sekrang ke jesica kok kek ngak konsisten gitu kalian";0;0;0;0;in;161693246;1709522613666750650;ucuppampam;https://twitter.com/ucuppampam/status/1709711451676397669
Wed Oct 04 22:44:17 +0000 2023;1709700997885661439;"@1995Tvku @Heraloebss jesica mirna juga jadi ga jelas";0;0;0;0;in;866233123;1709271921416958300;AnakSakti2;https://twitter.com/AnakSakti2/status/1709700997885661439
Wed Oct 04 19:10:55 +0000 2023;1709647301688619151;"@kontomulyo_ gua lagi baca twet mirna jesica tibatiba twet lu keluar bangst ! ngakak wkwk";0;0;0;1;in;969024116;1709581971087839559;AdittyaEka_H;https://twitter.com/AdittyaEka_H/status/1709647301688619151
Wed Oct 04 17:47:19 +0000 2023;1709626264930197958;"@AREAJULID Coba kalau wajah Jesica lebih cantik dari dari Mirna , mungkin ada kemungkinan Jesica bisa lolos dari hukuman tsb";0;0;0;1;in;1313866107002875905;1709522613666750650;Rskertel1;https://twitter.com/Rskertel1/status/1709626264930197958
Wed Oct 04 17:37:43 +0000 2023;1709623846901301481;"@maspuspaw @convomfs Iya aneh bngt. Sianida tuh racun yg paling bahaya siapa yg minum itu langsung mati dlm hitungan detik. Sementara Mirna meninggal di caffe bareng Jesica Masa bapak nya yg ngeracun kan gak logis.";0;0;0;0;in;1070798687327186945;1709527696680894673;Karinbahary2;https://twitter.com/Karinbahary2/status/1709623846901301481
Wed Oct 04 17:31:44 +0000 2023;1709622341255266391;"@Deviezta08 @convomfs Gmna gak nuduh ya si Mirna baru minum kopi 2 teguk udh jatoh langsung mati di tempat Setau gua sekronis2nya lambung pasti sakit perut dulu sempat lah di bawa ke RS. Ini mah kan langsung mati aja. Lagian yg bikin kopi si Jesica bkn barista nya. Dan di tmukan celana Jesica yg koyak";0;2;0;0;in;1070798687327186945;1709527696680894673;Karinbahary2;https://twitter.com/Karinbahary2/status/1709622341255266391
Wed Oct 04 17:25:49 +0000 2023;1709620852516426052;"@convomfs Andai kan mau seudzon kalo bpk nya sendiri yg meracuni anaknya. Gmna cara nya Secara kan jelas2 si Jesica cuma berdua sma si Mirna di caffe Mati nya pun setelah minum kopi Jdi jelas Jesica yg salah dia pula yg bikin kopi nya bukan barista yg ada di sana";0;0;0;1;in;1070798687327186945;1709527696680894673;Karinbahary2;https://twitter.com/Karinbahary2/status/1709620852516426052
Wed Oct 04 17:00:38 +0000 2023;1709614517725114403;"@kegblgnunfaedh Seandainya Hakim inginkan kebenaran, saksi Ahli yang dihadirkan dari Australia oleh Otto selaku kuasa hukum jesica harusnya tidak di deportasi, karena mengatakan cukup yakin dapat membuktikan adanya penyebab lain yang membuat mirna mati.";0;0;0;0;in;616963096;1709485631616016426;raziteuku_;https://twitter.com/raziteuku_/status/1709614517725114403
Wed Oct 04 16:56:44 +0000 2023;1709613536950010178;"@kegblgnunfaedh Kalau berdasarkan yg gw tonton bukti mirna bersalah itu tanpa tuduhan ibarat kata ada yg pengen dia dihukum. Hakim berat sebelah, bukti cctv dihapus, mirna gk dikasih waktu untuk bersaksi, trus mayat jesica gk diotopsi padahal udh diizinin. Trus kadar sianida di tubuhnya cm 0,2.";0;0;0;0;in;1649677483598557184;1709485631616016426;Notyourfavorit;https://twitter.com/Notyourfavorit/status/1709613536950010178
Wed Oct 04 16:39:51 +0000 2023;1709609284387184681;"@spacetunt @sosmedkeras Tolol lu, emang jelas2 Jesica yg bunuh Mirna, lu ntn aja cctv ama semua kejanggalan2 yg dilakukan Jesica, sampai cari meja yg tidak bisa dipantau cctv secara langsung dan dia menghalangi gelas kopi dengan tasnya, hingga membuang celana yg dia pakai ke tkp.";0;0;0;0;in;1560255091533221889;1709549976437805358;CryptoPsycho696;https://twitter.com/CryptoPsycho696/status/1709609284387184681
